session_id,prompt_id,prompt_index,timestamp,project,cwd,git_branch,mode,entrypoint,version,model,char_count,assistant_turns,tool_calls,final_stop_reason,prompt_preview
demo-000-450c5bbc,demo-000-450c5bbc:p001,1,2026-06-09T08:27:08.000Z,webapp-frontend,/home/dev/projects/webapp-frontend,main,default,cli,2.1.85,claude-opus-4-8,111,2,6,end_turn,Met à jour le fichier de status avant de fermer
demo-000-450c5bbc,demo-000-450c5bbc:p002,2,2026-06-09T09:01:08.000Z,webapp-frontend,/home/dev/projects/webapp-frontend,main,default,vscode,2.2.0,claude-sonnet-4-6,1345,3,2,end_turn,Write docstrings for the public analytics helpers
demo-000-450c5bbc,demo-000-450c5bbc:p003,3,2026-06-09T09:22:08.000Z,webapp-frontend,/home/dev/projects/webapp-frontend,main,default,cli,2.1.85,claude-sonnet-4-6,1919,2,7,end_turn,Why does the nightly job double-count rows?
demo-000-450c5bbc,demo-000-450c5bbc:p004,4,2026-06-09T09:44:08.000Z,webapp-frontend,/home/dev/projects/webapp-frontend,main,plan,cli,2.1.90,claude-haiku-4-5,1075,4,5,tool_use,Add the retry decorator to the API client
demo-000-450c5bbc,demo-000-450c5bbc:p005,5,2026-06-09T10:08:08.000Z,webapp-frontend,/home/dev/projects/webapp-frontend,main,default,vscode,2.2.0,claude-sonnet-4-6,634,3,5,tool_use,anglais
demo-000-450c5bbc,demo-000-450c5bbc:p006,6,2026-06-09T10:36:08.000Z,webapp-frontend,/home/dev/projects/webapp-frontend,main,plan,vscode,2.1.90,claude-opus-4-8,2073,1,12,max_tokens,Design the data model for the new billing module
demo-000-450c5bbc,demo-000-450c5bbc:p007,7,2026-06-09T11:08:08.000Z,webapp-frontend,/home/dev/projects/webapp-frontend,main,plan,vscode,2.1.90,claude-sonnet-4-6,1998,3,0,end_turn,Is there a way to stream large CSVs in pandas?
demo-000-450c5bbc,demo-000-450c5bbc:p008,8,2026-06-09T11:34:08.000Z,webapp-frontend,/home/dev/projects/webapp-frontend,main,plan,cli,2.1.90,claude-opus-4-8,2460,6,11,end_turn,Fais le merge de main et ouvre la PR
demo-000-450c5bbc,demo-000-450c5bbc:p009,9,2026-06-09T11:58:08.000Z,webapp-frontend,/home/dev/projects/webapp-frontend,main,default,vscode,2.2.0,claude-sonnet-4-6,575,5,7,end_turn,"Here are my notes from the standup, keep them in mind"
demo-000-450c5bbc,demo-000-450c5bbc:p010,10,2026-06-09T12:19:08.000Z,webapp-frontend,/home/dev/projects/webapp-frontend,main,plan,vscode,2.1.90,claude-haiku-4-5,119,2,5,tool_use,Implement the CSV export endpoint with pagination
demo-000-450c5bbc,demo-000-450c5bbc:p011,11,2026-06-09T12:43:08.000Z,webapp-frontend,/home/dev/projects/webapp-frontend,main,default,cli,2.1.90,claude-haiku-4-5,3259,4,7,end_turn,Vérifie que les totaux collent avec la facture
demo-000-450c5bbc,demo-000-450c5bbc:p012,12,2026-06-09T13:11:08.000Z,webapp-frontend,/home/dev/projects/webapp-frontend,main,default,cli,2.1.85,claude-haiku-4-5,527,1,0,end_turn,Implement the CSV export endpoint with pagination
demo-000-450c5bbc,demo-000-450c5bbc:p013,13,2026-06-09T13:37:08.000Z,webapp-frontend,/home/dev/projects/webapp-frontend,main,plan,cli,2.1.85,claude-haiku-4-5,1349,3,4,end_turn,anglais
demo-000-450c5bbc,demo-000-450c5bbc:p014,14,2026-06-09T14:16:08.000Z,webapp-frontend,/home/dev/projects/webapp-frontend,main,plan,cli,2.1.85,claude-haiku-4-5,872,6,0,end_turn,Same as yesterday but for the staging tenant
demo-000-450c5bbc,demo-000-450c5bbc:p015,15,2026-06-09T14:24:08.000Z,webapp-frontend,/home/dev/projects/webapp-frontend,main,default,cli,2.2.0,claude-fable-5,3709,5,1,end_turn,Read PLAN.md and outline the steps to add the export pipeline
demo-000-450c5bbc,demo-000-450c5bbc:p016,16,2026-06-09T14:55:08.000Z,webapp-frontend,/home/dev/projects/webapp-frontend,main,default,cli,2.1.90,claude-sonnet-4-6,2475,5,3,max_tokens,"The dashboard crashes with a tz-naive vs tz-aware error, fix it"
demo-000-450c5bbc,demo-000-450c5bbc:p017,17,2026-06-09T15:20:08.000Z,webapp-frontend,/home/dev/projects/webapp-frontend,main,default,cli,2.1.85,claude-opus-4-8,2050,3,3,end_turn,Is there a way to stream large CSVs in pandas?
demo-000-450c5bbc,demo-000-450c5bbc:p018,18,2026-06-09T16:00:08.000Z,webapp-frontend,/home/dev/projects/webapp-frontend,main,default,vscode,2.2.0,claude-sonnet-4-6,4231,2,2,end_turn,"The dashboard crashes with a tz-naive vs tz-aware error, fix it"
demo-000-450c5bbc,demo-000-450c5bbc:p019,19,2026-06-09T16:10:08.000Z,webapp-frontend,/home/dev/projects/webapp-frontend,main,plan,cli,2.1.90,claude-haiku-4-5,2189,4,8,max_tokens,ok go ahead
demo-000-450c5bbc,demo-000-450c5bbc:p020,20,2026-06-09T16:40:08.000Z,webapp-frontend,/home/dev/projects/webapp-frontend,main,default,cli,2.1.85,claude-sonnet-4-6,1283,3,4,end_turn,Write docstrings for the public analytics helpers
demo-000-450c5bbc,demo-000-450c5bbc:p021,21,2026-06-09T16:46:08.000Z,webapp-frontend,/home/dev/projects/webapp-frontend,main,plan,vscode,2.1.90,claude-haiku-4-5,831,2,0,tool_use,Is there a way to stream large CSVs in pandas?
demo-000-450c5bbc,demo-000-450c5bbc:p022,22,2026-06-09T17:26:08.000Z,webapp-frontend,/home/dev/projects/webapp-frontend,main,default,vscode,2.2.0,claude-sonnet-4-6,623,7,2,tool_use,Why does the nightly job double-count rows?
demo-000-450c5bbc,demo-000-450c5bbc:p023,23,2026-06-09T17:35:08.000Z,webapp-frontend,/home/dev/projects/webapp-frontend,main,default,cli,2.1.85,claude-sonnet-4-6,2693,1,13,max_tokens,Split the god-object service into focused classes
demo-000-450c5bbc,demo-000-450c5bbc:p024,24,2026-06-09T17:53:08.000Z,webapp-frontend,/home/dev/projects/webapp-frontend,main,default,cli,2.1.90,claude-sonnet-4-6,1708,7,13,end_turn,Design the data model for the new billing module
demo-000-450c5bbc,demo-000-450c5bbc:p025,25,2026-06-09T18:09:08.000Z,webapp-frontend,/home/dev/projects/webapp-frontend,main,default,cli,2.1.85,claude-sonnet-4-6,239,3,2,end_turn,Is there a way to stream large CSVs in pandas?
