task_id,session_id,name,origin,prompts,first_timestamp,last_timestamp
demo-000-450c5bbc:i01,demo-000-450c5bbc,Met à jour le fichier de status avant de fermer,inferred,1,2026-06-09T08:27:08.000Z,2026-06-09T08:27:08.000Z
demo-000-450c5bbc:i02,demo-000-450c5bbc,Add the retry decorator to the API client,inferred,5,2026-06-09T09:01:08.000Z,2026-06-09T10:36:08.000Z
demo-000-450c5bbc:i03,demo-000-450c5bbc,Implement the CSV export endpoint with pagination,inferred,7,2026-06-09T11:08:08.000Z,2026-06-09T13:37:08.000Z
demo-000-450c5bbc:i04,demo-000-450c5bbc,Read PLAN.md and outline the steps to add the export pipeline,inferred,2,2026-06-09T14:16:08.000Z,2026-06-09T14:24:08.000Z
demo-000-450c5bbc:i05,demo-000-450c5bbc,"The dashboard crashes with a tz-naive vs tz-aware error, fix it",inferred,2,2026-06-09T14:55:08.000Z,2026-06-09T15:20:08.000Z
demo-000-450c5bbc:i06,demo-000-450c5bbc,"The dashboard crashes with a tz-naive vs tz-aware error, fix it",inferred,4,2026-06-09T16:00:08.000Z,2026-06-09T16:46:08.000Z
demo-000-450c5bbc:i07,demo-000-450c5bbc,Design the data model for the new billing module,inferred,5,2026-06-09T17:26:08.000Z,2026-06-09T18:24:08.000Z
demo-000-450c5bbc:i08,demo-000-450c5bbc,How should we structure the multi-tenant migration?,inferred,9,2026-06-09T18:59:08.000Z,2026-06-09T20:40:08.000Z
demo-000-450c5bbc:i09,demo-000-450c5bbc,Audit the error handling in the export pipeline,inferred,1,2026-06-09T21:11:08.000Z,2026-06-09T21:11:08.000Z
demo-001-638b2bb1:i01,demo-001-638b2bb1,Tests fail on Windows only — investigate the path handling,inferred,5,2026-05-30T10:00:33.000Z,2026-05-30T10:17:33.000Z
demo-002-8356f0d0:t01,demo-002-8356f0d0,Migrate the billing module,todo,13,2026-06-04T21:08:24.000Z,2026-06-05T01:29:24.000Z
demo-003-47ba47d3:i01,demo-003-47ba47d3,Read PLAN.md and outline the steps to add the export pipeline,inferred,1,2026-05-10T14:06:26.000Z,2026-05-10T14:06:26.000Z
demo-003-47ba47d3:i02,demo-003-47ba47d3,Commit the changes and push the branch,inferred,2,2026-05-10T14:44:26.000Z,2026-05-10T14:56:26.000Z
